
ファイナルファンタジーシリーズの音楽を担当した作曲家は？,植松伸夫,近藤浩治,田中公平,野村哲也,植松伸夫
ポケモンの「ピカチュウ」は何タイプ？,電気,水,草,氷,電気
アトリエシリーズの特徴は？,時間制限,アイテム収集,バトル,ストーリー重視,アイテム収集
ドラゴンクエストの最初のボスは？,デスピサロ,ゾーマ,バラモス,メーダ,バラモス
FFシリーズの「ギル」とは？,通貨,アイテム,武器,魔法,通貨
テイルズオブシリーズのバトルシステムは？,アクションバトル,ターン制,ストラテジー,コマンド選択,アクションバトル
モンスターハンターで最初に狩るべきモンスターは？,ドスジャグラス,リオレウス,ティガレックス,ナルガクルガ,ドスジャグラス
ゼルダの伝説の「トライフォース」の3つの要素は？,力・知恵・勇気,力・心・技,力・魔法・運,知恵・勇気・愛,力・知恵・勇気
FFシリーズで「魔法」と「召喚」はどのように分けられる？,キャラクターによる,種類による,スロットによる,アイテムによる,種類による
ポケモンの最初のリーダーは？,カスミ,タケシ,シゲル,オーキド,タケシ
ファイナルファンタジー7でのセフィロスの武器は？,バスターソード,ロングソード,カタナ,ウィングソード,バスターソード
アトリエシリーズの主人公は？,アーシャ,ロロナ,エスカ,フィリス,ロロナ
ドラゴンクエストの「スライム」の特技は？,みずでっぽう,はげしいおたけび,やみのいかり,おどりざかり,みずでっぽう
スカイリムの「ドゥーマー」とは？,エルフの一種,古代の人種,神々,魔物,古代の人種
ファイナルファンタジーにおいて「バハムート」は何？,召喚獣,武器,魔法,キャラクター,召喚獣
モンスターエナジーでのスキルは？,エネルギー回復,魔法強化,スピードアップ,回避率アップ,エネルギー回復
テーブルトークRPGのサイコロは通常何面？,6面,8面,12面,20面,6面
ゼルダの伝説でリンクが探すものは？,トライフォース,魔法の杖,聖剣,運命の書,トライフォース
ファイナルファンタジー7の「エアリス」の役割は？,ヒーラー,戦士,魔法使い,弓使い,ヒーラー
ポケモンにおいて「進化」とは？,レベルアップによる変化,特定のアイテム使用,トレード,時間経過,レベルアップによる変化
スカイリムにおける「ドラゴンボーン」の能力は？,ドラゴンの言葉を使う,魔法を強化する,物理攻撃を強化する,回復能力,ドラゴンの言葉を使う
